# Phase, Flux
-2.499311596532040047e-01,-6.897089440005555616e+01
-2.497002906603169592e-01,8.318504338422627598e+01
-2.493674170884812025e-01,6.345597606616237840e+01
-2.490255190501344806e-01,2.478537868721986115e+00
-2.488395376714910290e-01,5.592016913302799708e+00
-2.487831481845795834e-01,-2.059031003698308382e+01
-2.485091911220491667e-01,-1.513164823963020211e+01
-2.481501056157326968e-01,-4.748932436626773779e+00
-2.476346532204569684e-01,-2.479326407511805996e-01
-2.472913132369546352e-01,2.576830166578503167e+00
-2.469601881393088672e-01,-1.415621671252420555e+01
-2.468041855223499503e-01,-1.044933741143339034e+02
-2.467292106766064697e-01,-6.441198417084237349e+00
-2.464349853071884366e-01,1.217668744835087580e+01
-2.460774609517631939e-01,6.815600467691140807e+01
-2.458261781528772172e-01,4.691459356065408315e+01
-2.455666498058883818e-01,-1.287653465842364398e+01
-2.452153530246373725e-01,-2.395589750670001905e+01
-2.448975515742708442e-01,1.848816065508351869e+01
-2.447737567181703655e-01,3.556189647202501192e+00
-2.446713967610019136e-01,-5.373390636997932290e+01
-2.443598091872561939e-01,4.311717199412257173e+01
-2.440065129334030303e-01,1.208734307289738297e+01
-2.437795762400927213e-01,-3.331854043775450691e+01
-2.434963070713097588e-01,-3.003504472554041627e+01
-2.431398707458749531e-01,3.315792706004572210e+01
-2.428380621146933871e-01,-4.217254380922685897e+01
-2.426103613289031236e-01,3.078094480812865186e+01
-2.422839267178100719e-01,1.248379729634763180e+01
-2.419374973806942553e-01,1.314256904860755526e+00
-2.417372772101182843e-01,-3.025640943155050167e+01
-2.414241303453831256e-01,-2.088662062671442499e+01
-2.410652765868631642e-01,-2.181280213187086758e+01
-2.407817682573195617e-01,-4.317784605833985268e+01
-2.405461262223550500e-01,3.480935770472370905e+01
-2.402077584507616992e-01,9.996857760863342435e+01
-2.398708814912716702e-01,-1.810750914366110464e+01
-2.396995346527948101e-01,-3.393417907682216850e+01
-2.396349355187017416e-01,-5.929451112263173229e+01
-2.393506234759533724e-01,4.774572359567130775e+01
-2.389919766615520302e-01,-3.417266555805209549e+01
-2.387292675116441387e-01,1.071549518893988306e+01
-2.384792734022777028e-01,1.919102044389831008e+00
-2.381315642694230572e-01,9.024070370511338979e+00
-2.378068092745485584e-01,5.539430471257489330e+01
-2.376665151599889336e-01,-5.951282087679476973e+01
-2.375789537434245258e-01,5.991861388610075778e+00
